ts;cell_0;avg_temp0;med_temp0;cell_1;avg_temp1;med_temp1;cell_2;avg_temp2;med_temp2;cell_3;avg_temp3;med_temp3;cell_4;avg_temp4;med_temp4;cell_5;avg_temp5;med_temp5;cell_6;avg_temp6;med_temp6;cell_7;avg_temp7;med_temp7;cell_8;avg_temp8;med_temp8;cell_9;avg_temp9;med_temp9;cell_10;avg_temp10;med_temp10;cell_11;avg_temp11;med_temp11;cell_12;avg_temp12;med_temp12;cell_13;avg_temp13;med_temp13;cell_14;avg_temp14;med_temp14;cell_15;avg_temp15;med_temp15;
2022-05-01;0;11.91632270168855;11.1;1;13.649676683149442;13.1;2;11.612492103600756;11.0;-1;0.0;0.0;4;16.195252315252407;16.2;5;16.98772694373545;16.7;6;16.579158763730614;16.8;-1;0.0;0.0;8;15.695917001338676;14.25;9;14.456706798866904;14.9;10;15.948145833333323;15.2;11;16.426647230320686;15.95;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;15.133817805383025;15.5
2022-05-02;0;12.806072874493914;11.5;1;15.338139347563443;14.1;2;12.168762530245388;10.79;-1;0.0;0.0;4;18.108005543009682;18.0;5;18.690706813919423;18.2;6;17.302365760475485;16.82;-1;0.0;0.0;8;17.009106529209628;17.25;9;15.339799839871876;14.3;10;16.49190476190473;16.3;11;16.723801652892526;16.3;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;13.878670857656036;13.28
2022-05-03;0;12.950547445255483;12.3;1;13.838568738229737;12.4;2;10.372753174357412;10.1;-1;0.0;0.0;4;18.593577800732458;18.4;5;19.6078257496411;19.0;6;17.321414624684802;17.3;-1;0.0;0.0;8;17.36447457627116;17.1;9;17.919696969696947;18.6;10;18.920670391061442;20.2;11;15.886146341463414;14.6;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;11.78796334012221;11.48
2022-05-04;0;13.813080895008607;13.1;1;13.279116465863435;12.9;2;11.393773255813924;11.1;-1;0.0;0.0;4;18.425011204732762;18.2;5;19.48892815292227;19.1;6;17.429318815772824;17.0;-1;0.0;0.0;8;16.65576009501188;16.5;9;17.59435378590083;18.0;10;18.297506318449873;17.96;11;18.03551282051281;16.8;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;14.353606366459626;13.865
2022-05-05;0;16.60193661971832;16.2;1;14.748362164151647;14.7;2;13.936338028168953;13.0;-1;0.0;0.0;4;19.025961133973308;19.1;5;19.665822963485667;19.6;6;17.94373065940629;17.0;-1;0.0;0.0;8;15.997852582704589;15.8;9;16.958474466709784;16.7;10;19.503674242424236;18.39;11;18.42015600624024;18.45;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;15.637844217151859;16.3
2022-05-06;0;17.51186736474694;16.9;1;17.31284773060031;16.9;2;14.918168389955675;13.55;-1;0.0;0.0;4;20.102155381710123;20.2;5;19.09337444355258;18.7;6;17.280875601002172;16.74;-1;0.0;0.0;8;16.278944137507708;15.7;9;15.34369181380414;14.7;10;18.498438475952522;17.9;11;18.258631492168153;18.0;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;16.306533646322347;16.9
2022-05-07;0;16.86540447504302;17.0;1;16.548096885813127;16.4;2;14.689693341121465;14.5;-1;0.0;0.0;4;20.765454013678923;20.7;5;20.322405195191777;20.1;6;18.060051532592738;17.4;-1;0.0;0.0;8;17.269903581267215;16.6;9;16.013721893491027;16.0;10;18.573718309859146;18.2;11;17.84129131437356;17.7;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;15.807321637426892;16.0
2022-05-08;0;13.280103806228388;13.2;1;15.213228155339802;14.6;2;12.631554252199399;11.2;-1;0.0;0.0;4;19.672115958821554;19.2;5;20.010146332192914;19.9;6;18.70241479716761;18.6;-1;0.0;0.0;8;17.89840000000001;15.7;9;17.98329135661134;17.55;10;18.211594202898606;18.0;11;17.476571856287396;17.28;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;15.832972549019598;15.795
2022-05-09;0;16.66136783733826;15.8;1;17.04960380348653;17.2;2;12.46537060301512;10.89;-1;0.0;0.0;4;21.97190287972898;22.3;5;21.082274395595647;21.0;6;18.012368813993245;17.189999999999998;-1;0.0;0.0;8;19.996521739130426;19.6;9;18.237876828853317;17.9;10;18.60627005347593;18.1;11;17.04204231830729;16.2;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;16.256414162206685;16.1
2022-05-10;0;19.45913370998112;19.0;1;18.89240141070849;18.0;2;17.408945676631316;17.0;-1;0.0;0.0;4;23.61838865275325;23.9;5;23.45748213636904;23.5;6;18.825140477552125;18.74;-1;0.0;0.0;8;21.301020408163243;19.7;9;20.21953101361573;21.6;10;19.493031123139406;18.8;11;17.45164556962026;16.4;-1;0.0;0.0;-1;0.0;0.0;-1;0.0;0.0;15;16.82282318598835;17.1
