sensor_id;lat;lon
10058;51.286;7.518
10598;48.766;8.674
10869;48.876;9.084
11240;48.488;13.436
11321;48.234;14.320
11424;51.476;7.210
11728;49.166;8.624
11792;52.372;9.918
11849;49.966;8.052
11926;48.768;18.608
12007;47.294;12.182
12061;51.432;6.880
12126;57.908;16.490
12234;51.748;8.728
12409;48.188;17.134
12422;43.688;1.408
12753;44.616;2.032
12854;51.808;7.478
12875;51.114;13.128
12918;54.312;13.092
12938;54.33752042;18.58339012
13219;49.152;11.918
13410;49.574;11.170
13497;49.374;8.452
13570;51.460;7.158
14023;48.116;11.580
14784;50.498;12.138
14851;48.400;11.770
15062;50.306;8.566
15079;51.438;5.470
15144;50.834;6.286
15544;52.230;12.856
15575;46.748;8.102
15607;50.918;4.510
15626;51.376;6.126
15680;48.114;11.532
15701;42.744;23.174
15709;51.914;8.420
15845;52.436;13.346
15935;48.776;11.384
16956;52.052;8.354
17142;53.556;9.944
18474;52.408;13.500
18704;48.796;9.210
18782;51.890;8.970
19040;49.014;12.052
19282;52.034;5.342
19644;-36.854;174.870
19666;51.020;7.772
19948;50.702;7.276
20058;49.546;7.906
20092;49.678;6.560
20103;52.284;9.892
20289;51.960;8.372
20733;52.124;5.196
20736;52.124;5.196
20848;50.854;12.902
21210;42.206;25.326
21336;52.536;13.432
22322;53.928;18.522
22828;52.562;13.418
23094;16.49172000;102.83288400
23208;52.570;13.052
24639;51.306;12.384
25514;54.242;10.280
25530;51.19702829;2.98229456
28574;48.17653190;11.51110768
29423;51.686;8.684
30765;48.744;10.106
31105;48.72733833;9.32299107
33267;49.080;11.896
33877;51.738;7.158
34388;44.43373654;26.13383666
34807;55.586;12.286
35582;48.900;9.188
37536;51.554;6.736
38114;53.222;6.354
41593;48.562;14.440
41940;48.554;14.454
44429;47.866;-4.222
45850;52.198;20.908
47352;48.54357463;15.38987964
51547;50.164;9.086
54746;48.130;11.356
54940;54.31574947;18.60561921
5571;51.240;6.794
56286;47.562;9.686
58929;53.378;10.022
60966;51.100;6.886
62448;48.37424200;10.30527144
62801;48.148;11.594
62898;52.60278990;13.13623110
63220;52.512;13.448
64455;47.85869866;9.01480526
6454;52.438;13.502
64960;52.266;10.542
65443;47.39098106;15.43113202
65569;50.154;8.682
65697;53.71934185;19.97766137
65740;50.31666919;18.84784788
65765;53.718;19.946
65823;47.566;19.056
66299;47.658;8.578
66372;51.146;17.120
66403;52.112;5.144
66564;50.12706800;30.64065100
67353;52.278;21.056
67385;46.78312430;23.55940819
67501;52.528;19.760
67758;47.620;18.786
67809;48.266;14.192
67822;50.096;20.082
67933;50.30952966;18.93276930
67950;50.38475245;19.14348525
68012;48.348;7.878
68027;48.030;14.710
68067;51.03819558;16.77081764
68070;53.84379513;10.17452806
68088;50.04939723;19.92674446
68127;52.098;21.006
68221;52.34507982;14.83022118
68337;51.20775816;17.38605469
68440;51.600;5.718
68510;50.102;19.958
68518;51.19184822;17.16030529
68588;52.174;20.996
68734;51.96143094;5.23554971
68743;42.758;26.702
68745;45.456;11.064
68911;51.650;-0.522
68939;45.294;11.816
68952;51.146;17.112
68975;52.71725609;21.04349613
69007;51.748;19.620
69116;50.66893583;17.91542083
69141;44.93354662;26.02692783
69235;49.69683075;13.25687492
69435;54.322;18.582
69545;52.260;20.746
69590;50.644;17.984
69597;51.184;-115.558
69651;50.26824580;19.15442173
69701;51.70999910;19.63063486
69828;50.39925560;18.81636930
69852;52.31046595;21.07182384
69934;50.93518312;15.74515700
70050;51.306;22.680
70533;51.186;17.130
70831;51.550;7.208
70907;51.81925935;19.43684636
71054;52.31498690;20.96136153
71081;50.672;18.690
71205;54.498;18.544
71379;50.29290000;19.15580000
71463;52.608;13.260
71493;24.05147610;-104.60978970
71506;53.70008439;19.95158225
71509;53.71256978;19.97441858
71564;52.504;13.438
71649;45.638;11.714
71929;44.21682216;28.59509736
72287;45.696;16.076
72440;50.752;4.352
72606;35.838;128.594
72696;51.21964041;17.37517565
72807;51.21437383;17.39825875
72860;39.77513851;2.73506951
72966;39.55338447;2.61948475
7389;50.136;11.062
7830;51.86894000;5.39848000
7882;41.884;23.466
8227;48.810;9.012
8362;48.326;14.304
8762;42.140;24.794
9119;50.994;7.126
9313;49.06146150;8.65741700
9798;57.492;12.652
9985;50.932;6.780
sensor_id;lat;lon
