ts;location1;avg_temp1;location2;avg_temp2;location3;avg_temp3;location4;avg_temp4;location5;avg_temp5;location6;avg_temp6;location7;avg_temp7;location8;avg_temp8;location9;avg_temp9;location10;avg_temp10
2022-05-01 00:00;30134;29.075000000000006;18029;26.47916666666666;6091;25.104166666666675;7873;24.808333333333334;54349;23.32166666666667;6126;1.5795833333333331;56061;4.216000000000001;57245;4.500833333333333;7865;4.95;54434;5.154545454545453
2022-05-01 01:00;30134;28.9695652173913;18029;27.534782608695654;6091;24.995652173913044;7873;24.779166666666672;54349;22.90583333333333;6126;1.730833333333333;56061;3.379166666666666;57245;3.820833333333334;7865;4.245454545454546;54434;4.634782608695652
2022-05-01 02:00;18029;29.229166666666668;30134;28.851999999999986;6091;24.91249999999999;7873;24.7264;54349;22.410833333333333;6126;2.0404166666666668;57245;3.1099999999999994;56061;3.1633333333333336;7865;3.616666666666666;56766;3.630833333333334
2022-05-01 03:00;18029;30.59130434782609;30134;28.741666666666678;6091;24.81250000000001;7873;24.64458333333333;54349;22.031666666666663;57245;2.2376000000000005;6126;2.8072000000000004;56766;3.035833333333333;7865;3.0500000000000003;23926;3.1583333333333328
2022-05-01 04:00;18029;32.041666666666664;30134;28.625000000000014;6091;24.679166666666664;7873;24.536666666666665;54349;21.729166666666668;7865;2.8499999999999996;57245;3.1325;6126;3.834583333333334;53212;3.9824999999999986;23926;4.040000000000001
2022-05-01 05:00;18029;33.19583333333333;30134;28.491999999999997;6091;24.658333333333335;7873;24.590799999999998;18310;23.385;57334;5.148;6126;5.219166666666666;23926;5.5249999999999995;7865;5.858333333333333;53212;6.331199999999999
2022-05-01 06:00;18029;34.59166666666666;56028;31.00666666666667;21492;29.288888888888884;30134;28.395833333333318;6505;28.174999999999997;6062;7.276;5346;7.454166666666668;6126;7.6276;53098;7.974999999999999;52045;8.12
2022-05-01 07:00;56028;36.334482758620695;18029;35.15217391304348;21492;32.48;6505;32.108000000000004;18310;28.695;53098;8.588;52045;8.783999999999999;13428;9.2375;40640;9.37857142857143;32805;9.908333333333333
2022-05-01 08:00;18029;35.408333333333324;6505;33.229166666666664;57245;31.12333333333333;21492;29.51;6440;29.400000000000002;52045;8.81666666666667;13428;9.908333333333333;40640;9.926666666666668;51487;10.066666666666666;53098;10.6125
2022-05-01 09:00;18029;34.95652173913044;57245;34.53666666666666;27550;31.09047619047619;6440;30.80416666666666;6505;28.743478260869562;52045;9.72608695652174;51487;10.776190476190475;13428;10.9;40640;11.593333333333334;53098;12.458333333333336
