ts;sensor_id;count;avg_temperature
2022-05-01;8362;3594;14.55322760155817
2022-05-01;6454;2793;23.400107411385626
2022-05-01;7389;3819;17.385467399842963
2022-05-01;5571;3841;16.067794845092404
2022-05-01;9985;3992;20.284418837675414
2022-05-01;7882;4005;13.70127340823969
2022-05-01;9313;3875;21.11027096774186
2022-05-01;8227;3818;13.442640125720287
2022-05-01;7830;3857;16.134342753435295
2022-05-01;9119;3848;23.63058731808736
2022-05-08;7882;4015;17.129265255292648
2022-05-08;9313;3886;25.073185795162033
2022-05-08;7830;3835;18.675786179921776
2022-05-08;6454;2778;24.48462922966156
2022-05-08;8362;10;14.330000000000002
2022-05-08;7389;3792;20.501239451476767
2022-05-08;8227;3772;17.8536055143159
2022-05-08;5571;3833;19.67547612835897
2022-05-08;9985;3887;23.549858502701376
2022-05-08;9119;3802;26.81188847974746
2022-05-15;7830;3810;20.033538057742806
2022-05-15;7389;3700;21.424648648648745
2022-05-15;5571;3620;21.354668508287276
2022-05-15;9985;3945;25.05102661596967
2022-05-15;9119;3737;26.852207653197745
2022-05-15;9313;3882;26.72223080886136
2022-05-15;7882;2770;17.818592057761744
2022-05-15;8227;3616;19.806388274336186
2022-05-15;6454;2770;27.389097472924142
2022-05-22;5571;3620;18.10632596685079
2022-05-22;9985;3947;21.49009374208254
2022-05-22;9119;3599;24.65507085301472
2022-05-22;7882;3221;21.602514746973043
2022-05-22;9313;3880;23.497731958762706
2022-05-22;8227;3575;16.36987412587412
2022-05-22;6454;2773;21.529642985935727
2022-05-22;7830;3748;17.317091782283867
2022-05-22;7389;3622;17.62973495306458
2022-05-29;9313;1655;21.217280966767387
2022-05-29;8227;1479;12.970182555780964
2022-05-29;7830;1548;14.24567829457365
2022-05-29;6454;1170;19.366495726495753
2022-05-29;7389;1498;15.709078771695568
2022-05-29;5571;1260;13.629126984126986
2022-05-29;9985;1680;17.956964285714278
2022-05-29;9119;1518;19.42575757575761
